date,state,deaths_pneumonia_2019,deaths_pneumonia_2020,deaths_covid19,deaths_respiratory_failure_2019,deaths_respiratory_failure_2020,epidemiological_week_2020,new_deaths_pneumonia_2020,new_deaths_covid19,new_deaths_respiratory_failure_2020
2020-04-19,RO,299,333,8,277,261,17,2,0,3
2020-04-19,RR,93,113,2,48,64,17,1,0,0
2020-04-19,RS,3665,3651,37,3110,3103,17,31,0,18
2020-04-19,SC,1838,1758,38,1526,1340,17,9,1,11
2020-04-19,SE,477,527,4,448,434,17,4,0,5
2020-04-19,SP,19664,19542,2010,13048,14018,17,132,78,159
2020-04-19,TO,161,243,1,148,204,17,1,0,1
2020-04-18,AC,262,237,3,127,108,16,4,1,1
2020-04-18,AL,666,601,13,643,593,16,7,2,5
2020-04-18,AM,500,707,132,253,429,16,30,20,22
2020-04-18,AP,133,66,2,95,73,16,0,0,0
2020-04-18,BA,1666,1495,15,2492,2083,16,6,0,10
2020-04-18,CE,2147,2156,253,1542,1600,16,26,19,22
2020-04-18,DF,854,952,41,470,561,16,7,1,8
2020-04-18,ES,1362,1328,35,730,729,16,7,1,8
2020-04-18,GO,1794,1793,52,1418,1486,16,11,4,8
2020-04-18,MA,622,554,42,626,626,16,5,10,5
2020-04-18,MG,5615,5650,120,4783,4694,16,35,6,34
2020-04-18,MS,896,906,4,617,652,16,7,0,6
2020-04-18,MT,245,254,5,260,184,16,3,0,1
2020-04-18,PA,601,524,12,607,620,16,3,3,4
2020-04-18,PB,1290,1164,23,1159,1044,16,8,2,9
2020-04-18,PE,2205,2283,110,2187,2208,16,21,14,27
